,Artiste(s),Titre,Popularité,Genres musicaux,Morceaux
0,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),100,Pop,"Sam Smith, Kim Petras - Unholy (feat. Kim Petras)"
1,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",99,Hip-Hop,"Bizarrap, Quevedo - Quevedo: Bzrp Music Sessions, Vol. 52"
2,Manuel Turizo,La Bachata,98,Latino,Manuel Turizo - La Bachata
3,"David Guetta, Bebe Rexha",I'm Good (Blue),98,Pop,"David Guetta, Bebe Rexha - I'm Good (Blue)"
4,"Bad Bunny, Chencho Corleone",Me Porto Bonito,97,Reggae,"Bad Bunny, Chencho Corleone - Me Porto Bonito"
5,Bad Bunny,Tití Me Preguntó,97,Reggae,Bad Bunny - Tití Me Preguntó
6,Onerepublic,I Ain't Worried,96,Piano,Onerepublic - I Ain't Worried
7,Chris Brown,Under The Influence,96,Dance,Chris Brown - Under The Influence
8,Bad Bunny,Efecto,96,Latin,Bad Bunny - Efecto
9,Harry Styles,As It Was,95,Pop,Harry Styles - As It Was
10,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,95,Latino,"Bad Bunny, Bomba Estéreo - Ojitos Lindos"
11,Bad Bunny,Moscow Mule,94,Reggae,Bad Bunny - Moscow Mule
12,Joji,Glimpse of Us,94,Pop,Joji - Glimpse of Us
13,Karol G,Provenza,93,Reggae,Karol G - Provenza
14,The Neighbourhood,Sweater Weather,93,Alternative,The Neighbourhood - Sweater Weather
